"INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ADM_RATE_ALL","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","MD_EARN_WNE_P10"
"Northwest Technical Institute","Springdale","AR",36.178032,-94.115346,NA,11129,5184,5184,42251
"Ouachita Baptist University","Arkadelphia","AR",34.126093,-93.052471,0.72321861366941,43878,31180,31180,46670
"Arkansas State University Three Rivers","Malvern","AR",34.378745,-92.821416,NA,10370,3356,5780,33494
"Ozarka College","Melbourne","AR",36.053031,-91.896355,NA,11310,3720,6723,29599
"University of the Ozarks","Clarksville","AR",35.476278,-93.467221,0.60083449235048,35272,25950,25950,40448
"University of Arkansas Community College-Morrilton","Morrilton","AR",35.172136,-92.728507,1,12423,3336,4128,33405
"Philander Smith College","Little Rock","AR",34.737131,-92.283015,NA,25951,13014,13014,35537
"Phillips Community College of the University of Arkansas","Helena","AR",34.546155,-90.616884,NA,11244,3110,5060,27526
"Southeast Arkansas College","Pine Bluff","AR",34.210309,-92.025936,NA,11877,4200,7200,28717
"Professional Cosmetology Education Center","El Dorado","AR",33.216032,-92.664101,NA,NA,NA,NA,26020
"University of Arkansas-Pulaski Technical College","North Little Rock","AR",34.782783,-92.299184,NA,18763,5820,7050,31765
"University of Arkansas Hope-Texarkana","Hope","AR",33.641665,-93.596762,NA,13564,3250,4660,31229
"University of Arkansas Community College Rich Mountain","Mena","AR",34.591449,-94.219799,NA,10771,3384,3960,28861
"Paul Mitchell the School-Arkansas","Fayetteville","AR",36.126373,-94.153892,NA,NA,NA,NA,23940
"Searcy Beauty College","Searcy","AR",35.239148,-91.735135,NA,NA,NA,NA,11306
"Shorter College","N Little Rock","AR",34.75933,-92.261331,NA,19724,6246,6246,NA
"Williams Baptist University","Walnut Ridge","AR",36.125676,-90.940277,0.59305993690851,30718,19450,19450,38840
"South Arkansas Community College","El Dorado","AR",33.209446,-92.666087,NA,10774,3012,5124,33232
"Southern Arkansas University Main Campus","Magnolia","AR",33.291618,-93.235922,0.63614540466392,24242,9680,15110,40671
